,TimeSec,SleepLVL,HR
0,30,0,104.0
1,60,0,97.0
2,90,0,96.0
3,120,0,97.0
4,150,0,99.0
5,180,0,93.0
6,210,0,91.0
7,240,0,95.0
8,270,0,90.0
9,300,0,88.0
10,330,0,88.0
11,360,0,90.0
12,390,0,90.0
13,420,0,93.0
14,450,0,90.0
15,480,0,93.0
16,510,0,90.0
17,540,0,87.0
18,570,0,90.0
19,600,0,93.0
20,630,0,87.0
21,660,1,87.0
22,690,1,86.0
23,720,1,84.0
24,750,1,84.0
25,780,1,82.0
26,810,1,90.0
27,840,1,82.0
28,870,2,82.0
29,900,0,88.0
30,930,1,97.0
31,960,1,81.0
32,990,2,81.0
33,1020,2,81.0
34,1050,2,82.0
35,1080,1,81.0
36,1110,2,81.0
37,1140,2,85.0
38,1170,2,80.0
39,1200,2,79.0
40,1230,2,77.0
41,1260,2,82.0
42,1290,2,80.0
43,1320,2,79.0
44,1350,2,79.0
45,1380,2,80.0
46,1410,2,79.0
47,1440,2,80.0
48,1470,2,80.0
49,1500,3,82.0
50,1530,3,82.0
51,1560,3,81.0
52,1590,3,82.0
53,1620,3,81.0
54,1650,3,81.0
55,1680,3,85.0
56,1710,3,83.0
57,1740,3,83.0
58,1770,3,84.0
59,1800,3,83.0
60,1830,3,84.0
61,1860,3,85.0
62,1890,3,84.0
63,1920,3,86.0
64,1950,3,85.0
65,1980,3,84.0
66,2010,3,84.0
67,2040,3,84.0
68,2070,3,85.0
69,2100,3,85.0
70,2130,3,84.0
71,2160,3,86.0
72,2190,3,83.0
73,2220,3,81.0
74,2250,3,85.0
75,2280,3,81.0
76,2310,3,83.0
77,2340,3,84.0
78,2370,3,82.0
79,2400,3,85.0
80,2430,3,85.0
81,2460,3,86.0
82,2490,3,85.0
83,2520,3,84.0
84,2550,3,85.0
85,2580,3,82.0
86,2610,3,85.0
87,2640,3,86.0
88,2670,3,85.0
89,2700,3,85.0
90,2730,3,87.0
91,2760,3,86.0
92,2790,3,88.0
93,2820,3,97.0
94,2850,3,82.0
95,2880,3,84.0
96,2910,3,85.0
97,2940,3,85.0
98,2970,3,86.0
99,3000,3,85.0
100,3030,3,88.0
101,3060,3,87.0
102,3090,3,86.0
103,3120,3,87.0
104,3150,3,86.0
105,3180,3,90.0
106,3210,3,90.0
107,3240,3,87.0
108,3270,3,90.0
109,3300,3,88.0
110,3330,3,90.0
111,3360,3,89.0
112,3390,3,89.0
113,3420,3,86.0
114,3450,3,86.0
115,3480,3,88.0
116,3510,3,89.0
117,3540,3,87.0
118,3570,3,86.0
119,3600,3,89.0
120,3630,3,88.0
121,3660,3,85.0
122,3690,3,86.0
123,3720,3,89.0
124,3750,3,88.0
125,3780,3,91.0
126,3810,3,86.0
127,3840,3,89.0
128,3870,3,89.0
129,3900,3,89.0
130,3930,3,89.0
131,3960,3,89.0
132,3990,3,88.0
133,4020,3,90.0
134,4050,3,90.0
135,4080,3,89.0
136,4110,3,88.0
137,4140,3,89.0
138,4170,3,90.0
139,4200,3,86.0
140,4230,3,90.0
141,4260,3,89.0
142,4290,3,89.0
143,4320,3,86.0
144,4350,3,90.0
145,4380,3,91.0
146,4410,3,90.0
147,4440,3,91.0
148,4470,1,91.0
149,4500,2,93.0
150,4530,2,86.0
151,4560,0,89.0
152,4590,2,107.0
153,4620,2,80.0
154,4650,2,83.0
155,4680,2,92.0
156,4710,2,84.0
157,4740,2,84.0
158,4770,2,85.0
159,4800,2,93.0
160,4830,2,82.0
161,4860,2,84.0
162,4890,2,84.0
163,4920,2,85.0
164,4950,3,85.0
165,4980,3,86.0
166,5010,3,86.0
167,5040,3,85.0
168,5070,3,85.0
169,5100,3,85.0
170,5130,3,87.0
171,5160,3,87.0
172,5190,3,87.0
173,5220,3,87.0
174,5250,2,90.0
175,5280,3,84.0
176,5310,3,86.0
177,5340,3,86.0
178,5370,3,87.0
179,5400,3,88.0
180,5430,3,86.0
181,5460,3,87.0
182,5490,3,85.0
183,5520,3,87.0
184,5550,3,88.0
185,5580,3,87.0
186,5610,3,88.0
187,5640,3,85.0
188,5670,3,82.0
189,5700,3,86.0
190,5730,3,88.0
191,5760,3,86.0
192,5790,3,88.0
193,5820,3,88.0
194,5850,3,88.0
195,5880,3,88.0
196,5910,3,88.0
197,5940,3,85.0
198,5970,3,86.0
199,6000,3,86.0
200,6030,3,87.0
201,6060,3,86.0
202,6090,3,88.0
203,6120,3,86.0
204,6150,3,86.0
205,6180,3,86.0
206,6210,3,86.0
207,6240,3,87.0
208,6270,3,84.0
209,6300,3,85.0
210,6330,3,85.0
211,6360,3,86.0
212,6390,3,85.0
213,6420,3,85.0
214,6450,3,86.0
215,6480,2,89.0
216,6510,2,83.0
217,6540,2,83.0
218,6570,2,88.0
219,6600,2,84.0
220,6630,2,87.0
221,6660,2,85.0
222,6690,3,86.0
223,6720,3,84.0
224,6750,3,84.0
225,6780,0,87.0
226,6810,2,95.0
227,6840,2,85.0
228,6870,1,82.0
229,6900,2,83.0
230,6930,2,80.0
231,6960,0,83.0
232,6990,0,91.0
233,7020,2,81.0
234,7050,2,76.0
235,7080,1,89.0
236,7110,2,76.0
237,7140,2,79.0
238,7170,2,80.0
239,7200,2,80.0
240,7230,2,83.0
241,7260,2,75.0
242,7290,2,78.0
243,7320,2,81.0
244,7350,1,81.0
245,7380,2,93.0
246,7410,2,76.0
247,7440,2,80.0
248,7470,1,80.0
249,7500,1,95.0
250,7530,1,102.0
251,7560,2,76.0
252,7590,2,76.0
253,7620,1,83.0
254,7650,2,76.0
255,7680,2,77.0
256,7710,2,79.0
257,7740,1,79.0
258,7770,2,79.0
259,7800,2,76.0
260,7830,2,78.0
261,7860,2,78.0
262,7890,2,93.0
263,7920,2,72.0
264,7950,2,74.0
265,7980,2,76.0
266,8010,2,78.0
267,8040,2,81.0
268,8070,2,79.0
269,8100,2,79.0
270,8130,2,79.0
271,8160,2,83.0
272,8190,2,78.0
273,8220,2,78.0
274,8250,2,77.0
275,8280,2,78.0
276,8310,2,77.0
277,8340,2,89.0
278,8370,2,77.0
279,8400,2,75.0
280,8430,2,75.0
281,8460,1,80.0
282,8490,2,82.0
283,8520,2,76.0
284,8550,1,76.0
285,8580,1,85.0
286,8610,2,76.0
287,8640,2,74.0
288,8670,2,77.0
289,8700,2,74.0
290,8730,2,74.0
291,8760,2,76.0
292,8790,2,76.0
293,8820,2,75.0
294,8850,2,75.0
295,8880,2,76.0
296,8910,2,75.0
297,8940,1,77.0
298,8970,1,85.0
299,9000,2,74.0
300,9030,2,74.0
301,9060,2,76.0
302,9090,1,78.0
303,9120,2,77.0
304,9150,2,79.0
305,9180,2,78.0
306,9210,2,79.0
307,9240,2,73.0
308,9270,1,79.0
