,TimeSec,SleepLVL,HR
0,30,0,216
1,60,0,200
2,90,0,216
3,120,0,224
4,150,0,272
5,180,0,208
6,210,0,232
7,240,0,240
8,270,0,236
9,300,0,204
10,330,0,228
11,360,0,216
12,390,0,232
13,420,0,216
14,450,0,232
15,480,0,224
16,510,0,220
17,540,0,248
18,570,0,236
19,600,0,232
20,630,0,232
21,660,0,232
22,690,0,232
23,720,0,228
24,750,0,232
25,780,0,236
26,810,0,236
27,840,0,236
28,870,0,236
29,900,0,232
30,930,0,228
31,960,0,228
32,990,0,256
33,1020,0,268
34,1050,0,240
35,1080,0,236
36,1110,0,236
37,1140,0,236
38,1170,0,232
39,1200,0,232
40,1230,0,228
41,1260,0,228
42,1290,0,220
43,1320,0,224
44,1350,0,240
45,1380,0,220
46,1410,0,216
47,1440,0,212
48,1470,0,212
49,1500,1,212
50,1530,1,216
51,1560,1,212
52,1590,1,212
53,1620,2,208
54,1650,2,212
55,1680,2,224
56,1710,2,216
57,1740,2,212
58,1770,2,216
59,1800,2,220
60,1830,2,228
61,1860,2,220
62,1890,2,236
63,1920,2,224
64,1950,2,236
65,1980,2,236
66,2010,2,212
67,2040,2,236
68,2070,2,232
69,2100,2,224
70,2130,2,236
71,2160,2,240
72,2190,2,220
73,2220,2,240
74,2250,2,236
75,2280,2,240
76,2310,2,224
77,2340,2,232
78,2370,2,232
79,2400,2,236
80,2430,2,236
81,2460,2,220
82,2490,2,232
83,2520,2,244
84,2550,2,236
85,2580,3,240
86,2610,2,236
87,2640,3,232
88,2670,3,236
89,2700,3,240
90,2730,3,236
91,2760,3,240
92,2790,3,236
93,2820,3,224
94,2850,3,228
95,2880,3,240
96,2910,3,236
97,2940,3,236
98,2970,3,244
99,3000,3,228
100,3030,3,244
101,3060,3,244
102,3090,3,244
103,3120,2,236
104,3150,2,228
105,3180,2,232
106,3210,3,232
107,3240,3,240
108,3270,2,240
109,3300,0,232
110,3330,0,228
111,3360,0,384
112,3390,0,328
113,3420,0,368
114,3450,0,276
115,3480,0,212
116,3510,0,228
117,3540,0,224
118,3570,0,236
119,3600,0,208
120,3630,0,208
121,3660,1,200
122,3690,1,212
123,3720,1,212
124,3750,1,216
125,3780,1,212
126,3810,1,220
127,3840,1,208
128,3870,1,212
129,3900,1,212
130,3930,1,216
131,3960,1,224
132,3990,1,236
133,4020,1,216
134,4050,1,224
135,4080,1,212
136,4110,1,216
137,4140,1,224
138,4170,1,236
139,4200,1,228
140,4230,0,236
141,4260,0,276
142,4290,0,232
143,4320,0,272
144,4350,0,228
145,4380,0,208
146,4410,0,204
147,4440,0,204
148,4470,0,216
149,4500,0,212
150,4530,0,216
151,4560,0,220
152,4590,0,208
153,4620,0,220
154,4650,0,224
155,4680,0,216
156,4710,0,212
157,4740,0,228
158,4770,0,224
159,4800,0,216
160,4830,1,224
161,4860,1,224
162,4890,2,232
163,4920,1,228
164,4950,2,228
165,4980,2,220
166,5010,0,220
167,5040,1,224
168,5070,2,200
169,5100,2,196
170,5130,2,200
171,5160,2,188
172,5190,2,204
173,5220,2,220
174,5250,2,204
175,5280,2,212
176,5310,2,216
177,5340,2,204
178,5370,2,212
179,5400,2,216
180,5430,2,216
181,5460,2,236
182,5490,2,224
183,5520,2,216
184,5550,2,224
185,5580,2,240
186,5610,2,224
187,5640,0,236
188,5670,0,296
189,5700,0,380
190,5730,0,312
191,5760,0,236
192,5790,0,256
193,5820,0,308
194,5850,1,348
195,5880,1,208
196,5910,2,228
197,5940,2,260
198,5970,1,236
199,6000,2,232
200,6030,2,236
201,6060,2,228
202,6090,2,236
203,6120,2,232
204,6150,2,220
205,6180,2,236
206,6210,2,236
207,6240,2,212
208,6270,2,216
209,6300,2,224
210,6330,2,228
211,6360,2,236
212,6390,2,236
213,6420,2,200
214,6450,2,228
215,6480,2,216
216,6510,2,236
217,6540,2,228
218,6570,2,236
219,6600,2,232
220,6630,1,236
221,6660,2,236
222,6690,2,220
223,6720,2,236
224,6750,1,228
225,6780,2,232
226,6810,2,228
227,6840,2,232
228,6870,2,236
229,6900,5,224
230,6930,5,252
231,6960,5,284
232,6990,5,284
233,7020,5,276
234,7050,5,256
235,7080,5,252
236,7110,5,292
237,7140,5,276
238,7170,5,248
239,7200,5,276
240,7230,5,292
241,7260,5,272
242,7290,5,268
243,7320,5,272
244,7350,5,304
245,7380,5,312
246,7410,5,276
247,7440,5,256
248,7470,5,296
249,7500,5,272
250,7530,5,236
251,7560,5,268
252,7590,5,256
253,7620,5,260
254,7650,5,240
255,7680,1,276
256,7710,1,228
257,7740,5,232
258,7770,2,244
259,7800,2,228
260,7830,2,272
261,7860,2,236
262,7890,2,244
263,7920,2,248
264,7950,2,240
265,7980,2,256
266,8010,2,248
267,8040,2,248
268,8070,2,220
269,8100,2,236
270,8130,2,240
271,8160,2,236
272,8190,2,248
273,8220,2,244
274,8250,2,248
275,8280,2,236
276,8310,2,256
277,8340,2,252
278,8370,2,244
279,8400,2,248
280,8430,2,244
281,8460,2,260
282,8490,2,252
283,8520,3,252
284,8550,2,244
285,8580,2,240
286,8610,2,248
287,8640,2,240
288,8670,3,244
289,8700,2,240
290,8730,2,248
291,8760,2,248
292,8790,2,240
293,8820,2,244
294,8850,3,248
295,8880,3,240
296,8910,3,248
297,8940,3,248
298,8970,3,252
299,9000,3,256
300,9030,3,268
301,9060,3,240
302,9090,3,236
303,9120,3,244
304,9150,3,248
305,9180,3,248
306,9210,3,244
307,9240,3,236
308,9270,3,244
309,9300,3,244
310,9330,3,240
311,9360,3,240
312,9390,3,240
313,9420,3,240
314,9450,3,240
315,9480,3,240
316,9510,3,236
317,9540,3,236
318,9570,0,244
319,9600,1,244
320,9630,1,384
321,9660,1,200
322,9690,1,232
323,9720,0,220
324,9750,0,276
325,9780,1,244
326,9810,1,228
327,9840,1,216
328,9870,1,216
329,9900,1,236
330,9930,2,240
331,9960,2,208
332,9990,2,236
333,10020,2,228
334,10050,2,216
335,10080,2,232
336,10110,2,232
337,10140,2,216
338,10170,0,232
339,10200,0,236
340,10230,0,296
341,10260,0,292
342,10290,0,224
343,10320,0,208
344,10350,0,220
345,10380,1,260
346,10410,2,200
347,10440,2,228
348,10470,2,208
349,10500,2,212
350,10530,2,232
351,10560,2,208
352,10590,2,224
353,10620,2,216
354,10650,2,232
355,10680,2,232
356,10710,2,228
357,10740,2,236
358,10770,2,232
359,10800,2,236
360,10830,2,224
361,10860,2,236
362,10890,2,232
363,10920,2,236
364,10950,2,224
365,10980,2,236
366,11010,2,212
367,11040,2,236
368,11070,2,232
369,11100,2,228
370,11130,2,228
371,11160,2,224
372,11190,2,228
373,11220,2,232
374,11250,2,232
375,11280,2,232
376,11310,2,236
377,11340,2,232
378,11370,2,228
379,11400,2,232
380,11430,2,236
381,11460,2,236
382,11490,3,232
383,11520,2,236
384,11550,2,236
385,11580,3,236
386,11610,2,236
387,11640,2,228
388,11670,0,232
389,11700,0,236
390,11730,2,220
391,11760,1,196
392,11790,1,196
393,11820,0,232
394,11850,0,200
395,11880,1,224
396,11910,1,216
397,11940,1,204
398,11970,2,220
399,12000,2,236
400,12030,2,228
401,12060,1,224
402,12090,1,236
403,12120,1,236
404,12150,2,216
405,12180,5,236
406,12210,5,224
407,12240,5,220
408,12270,5,244
409,12300,5,260
410,12330,5,276
411,12360,5,256
412,12390,5,240
413,12420,5,276
414,12450,5,272
415,12480,5,272
416,12510,5,256
417,12540,5,260
418,12570,5,256
419,12600,5,244
420,12630,5,268
421,12660,5,256
422,12690,5,272
423,12720,5,252
424,12750,5,252
425,12780,5,236
426,12810,5,240
427,12840,5,244
428,12870,5,276
429,12900,5,240
430,12930,5,236
431,12960,5,252
432,12990,5,256
433,13020,5,260
434,13050,5,256
435,13080,5,244
436,13110,5,260
437,13140,5,256
438,13170,5,252
439,13200,5,236
440,13230,5,244
441,13260,5,260
442,13290,5,244
443,13320,5,328
444,13350,5,332
445,13380,5,296
446,13410,5,220
447,13440,5,248
448,13470,5,240
449,13500,5,240
450,13530,5,252
451,13560,5,204
452,13590,5,220
453,13620,5,232
454,13650,5,236
455,13680,5,224
456,13710,5,236
457,13740,5,236
458,13770,5,288
459,13800,5,236
460,13830,5,236
461,13860,5,252
462,13890,5,244
463,13920,5,224
464,13950,5,228
465,13980,5,244
466,14010,5,252
467,14040,5,260
468,14070,5,244
469,14100,5,248
470,14130,5,244
471,14160,5,212
472,14190,5,260
473,14220,5,216
474,14250,5,236
475,14280,5,268
476,14310,5,224
477,14340,5,248
478,14370,5,248
479,14400,5,260
480,14430,5,244
481,14460,5,260
482,14490,5,244
483,14520,5,268
484,14550,5,240
485,14580,5,236
486,14610,5,240
487,14640,5,228
488,14670,5,228
489,14700,5,276
490,14730,5,228
491,14760,5,252
492,14790,5,252
493,14820,5,272
494,14850,5,212
495,14880,5,268
496,14910,5,236
497,14940,5,232
498,14970,5,208
499,15000,5,268
500,15030,5,256
501,15060,5,248
502,15090,5,252
503,15120,5,244
504,15150,0,260
505,15180,1,256
506,15210,1,320
507,15240,2,236
508,15270,1,236
509,15300,1,228
510,15330,0,228
511,15360,0,288
512,15390,0,256
513,15420,1,232
514,15450,1,228
515,15480,0,216
516,15510,0,220
517,15540,0,276
518,15570,0,328
519,15600,0,268
520,15630,0,252
521,15660,0,236
522,15690,0,244
523,15720,0,272
524,15750,0,284
525,15780,0,276
526,15810,0,248
527,15840,1,252
528,15870,0,216
529,15900,0,228
530,15930,1,236
531,15960,1,220
532,15990,1,220
533,16020,1,220
534,16050,1,216
535,16080,1,212
536,16110,2,228
537,16140,2,216
538,16170,2,216
539,16200,2,216
540,16230,2,208
541,16260,2,208
542,16290,2,212
543,16320,2,244
544,16350,2,236
545,16380,2,220
546,16410,2,228
547,16440,2,220
548,16470,2,216
549,16500,2,216
550,16530,2,224
551,16560,2,228
552,16590,2,236
553,16620,2,232
554,16650,2,228
555,16680,2,232
556,16710,2,224
557,16740,2,224
558,16770,2,228
559,16800,2,236
560,16830,2,224
561,16860,2,220
562,16890,2,248
563,16920,2,236
564,16950,2,240
565,16980,2,236
566,17010,2,236
567,17040,2,236
568,17070,2,236
569,17100,2,244
570,17130,2,228
571,17160,2,236
572,17190,0,224
573,17220,0,236
574,17250,0,236
575,17280,1,260
576,17310,1,220
577,17340,1,240
578,17370,1,236
579,17400,2,236
580,17430,2,236
581,17460,2,236
582,17490,2,228
583,17520,2,236
584,17550,2,208
585,17580,2,212
586,17610,2,224
587,17640,2,212
588,17670,2,228
589,17700,2,216
590,17730,2,232
591,17760,2,224
592,17790,2,224
593,17820,2,224
594,17850,2,220
595,17880,2,224
596,17910,2,216
597,17940,2,232
598,17970,2,228
599,18000,2,224
600,18030,2,228
601,18060,2,224
602,18090,2,228
603,18120,2,224
604,18150,2,236
605,18180,2,224
606,18210,2,224
607,18240,2,236
608,18270,2,224
609,18300,3,236
610,18330,2,236
611,18360,2,236
612,18390,3,232
613,18420,2,220
614,18450,2,224
615,18480,2,232
616,18510,2,220
617,18540,3,236
618,18570,3,232
619,18600,3,228
620,18630,3,232
621,18660,3,232
622,18690,3,232
623,18720,3,236
624,18750,3,236
625,18780,3,236
626,18810,3,232
627,18840,3,236
628,18870,3,232
629,18900,3,228
630,18930,0,244
631,18960,0,240
632,18990,1,240
633,19020,0,228
634,19050,1,208
635,19080,0,332
636,19110,0,224
637,19140,0,228
638,19170,0,216
639,19200,1,204
640,19230,0,204
641,19260,1,244
642,19290,1,208
643,19320,1,240
644,19350,1,236
645,19380,2,236
646,19410,2,240
647,19440,2,244
648,19470,1,232
649,19500,2,228
650,19530,2,212
651,19560,5,236
652,19590,5,244
653,19620,5,228
654,19650,5,236
655,19680,5,232
656,19710,5,260
657,19740,5,252
658,19770,5,248
659,19800,5,240
660,19830,5,276
661,19860,5,240
662,19890,5,232
663,19920,5,252
664,19950,5,276
665,19980,5,236
666,20010,5,260
667,20040,5,224
668,20070,5,272
669,20100,5,232
670,20130,5,260
671,20160,5,252
672,20190,5,236
673,20220,5,248
674,20250,5,240
675,20280,5,272
676,20310,5,236
677,20340,5,260
678,20370,5,236
679,20400,5,268
680,20430,5,236
681,20460,5,260
682,20490,5,240
683,20520,5,272
684,20550,5,252
685,20580,5,276
686,20610,5,228
687,20640,5,296
688,20670,5,288
689,20700,5,240
690,20730,5,260
691,20760,5,260
692,20790,5,260
693,20820,5,276
694,20850,5,232
695,20880,5,236
696,20910,5,236
697,20940,5,256
698,20970,5,260
699,21000,5,236
700,21030,5,220
701,21060,5,244
702,21090,5,252
703,21120,5,260
704,21150,5,252
705,21180,5,276
706,21210,5,256
707,21240,5,244
708,21270,5,272
709,21300,5,244
710,21330,5,236
711,21360,5,260
712,21390,5,248
713,21420,5,244
714,21450,5,248
715,21480,5,200
716,21510,5,220
717,21540,5,256
718,21570,5,236
719,21600,5,232
720,21630,5,236
721,21660,5,240
722,21690,5,244
723,21720,5,248
724,21750,5,252
725,21780,5,244
726,21810,5,236
727,21840,5,244
728,21870,5,240
729,21900,5,228
730,21930,5,252
731,21960,5,276
732,21990,5,236
733,22020,5,256
734,22050,5,268
735,22080,5,260
736,22110,5,260
737,22140,5,212
738,22170,5,248
739,22200,5,252
740,22230,5,236
741,22260,5,248
742,22290,5,256
