,TimeSec,SleepLVL,HR
0,30,0,54
1,60,0,50
2,90,0,54
3,120,0,56
4,150,0,68
5,180,0,52
6,210,0,58
7,240,0,60
8,270,0,59
9,300,0,51
10,330,0,57
11,360,0,54
12,390,0,58
13,420,0,54
14,450,0,58
15,480,0,56
16,510,0,55
17,540,0,62
18,570,0,59
19,600,0,58
20,630,0,58
21,660,0,58
22,690,0,58
23,720,0,57
24,750,0,58
25,780,0,59
26,810,0,59
27,840,0,59
28,870,0,59
29,900,0,58
30,930,0,57
31,960,0,57
32,990,0,64
33,1020,0,67
34,1050,0,60
35,1080,0,59
36,1110,0,59
37,1140,0,59
38,1170,0,58
39,1200,0,58
40,1230,0,57
41,1260,0,57
42,1290,0,55
43,1320,0,56
44,1350,0,60
45,1380,0,55
46,1410,0,54
47,1440,0,53
48,1470,0,53
49,1500,1,53
50,1530,1,54
51,1560,1,53
52,1590,1,53
53,1620,2,52
54,1650,2,53
55,1680,2,56
56,1710,2,54
57,1740,2,53
58,1770,2,54
59,1800,2,55
60,1830,2,57
61,1860,2,55
62,1890,2,59
63,1920,2,56
64,1950,2,59
65,1980,2,59
66,2010,2,53
67,2040,2,59
68,2070,2,58
69,2100,2,56
70,2130,2,59
71,2160,2,60
72,2190,2,55
73,2220,2,60
74,2250,2,59
75,2280,2,60
76,2310,2,56
77,2340,2,58
78,2370,2,58
79,2400,2,59
80,2430,2,59
81,2460,2,55
82,2490,2,58
83,2520,2,61
84,2550,2,59
85,2580,3,60
86,2610,2,59
87,2640,3,58
88,2670,3,59
89,2700,3,60
90,2730,3,59
91,2760,3,60
92,2790,3,59
93,2820,3,56
94,2850,3,57
95,2880,3,60
96,2910,3,59
97,2940,3,59
98,2970,3,61
99,3000,3,57
100,3030,3,61
101,3060,3,61
102,3090,3,61
103,3120,2,59
104,3150,2,57
105,3180,2,58
106,3210,3,58
107,3240,3,60
108,3270,2,60
109,3300,0,58
110,3330,0,57
111,3360,0,96
112,3390,0,82
113,3420,0,92
114,3450,0,69
115,3480,0,53
116,3510,0,57
117,3540,0,56
118,3570,0,59
119,3600,0,52
120,3630,0,52
121,3660,1,50
122,3690,1,53
123,3720,1,53
124,3750,1,54
125,3780,1,53
126,3810,1,55
127,3840,1,52
128,3870,1,53
129,3900,1,53
130,3930,1,54
131,3960,1,56
132,3990,1,59
133,4020,1,54
134,4050,1,56
135,4080,1,53
136,4110,1,54
137,4140,1,56
138,4170,1,59
139,4200,1,57
140,4230,0,59
141,4260,0,69
142,4290,0,58
143,4320,0,68
144,4350,0,57
145,4380,0,52
146,4410,0,51
147,4440,0,51
148,4470,0,54
149,4500,0,53
150,4530,0,54
151,4560,0,55
152,4590,0,52
153,4620,0,55
154,4650,0,56
155,4680,0,54
156,4710,0,53
157,4740,0,57
158,4770,0,56
159,4800,0,54
160,4830,1,56
161,4860,1,56
